"Line","Column","Message","Extent","RuleName","Severity","ScriptName","ScriptPath","RuleSuppressionID","SuggestedCorrections","IsSuppressed"
"17","64","'Select' is an alias of 'Select-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content.","Select","PSAvoidUsingCmdletAliases","Warning","Get-IntuneApps.psm1","C:\Users\undukwe\source\repos\myscripts\PowerShell Modules\Functions\Get-IntuneApps.psm1","Select","System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"54","32","'Where' is an alias of 'Where-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content.","Where","PSAvoidUsingCmdletAliases","Warning","Get-IntuneApps.psm1","C:\Users\undukwe\source\repos\myscripts\PowerShell Modules\Functions\Get-IntuneApps.psm1","Where","System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"55","34","'Where' is an alias of 'Where-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content.","Where","PSAvoidUsingCmdletAliases","Warning","Get-IntuneApps.psm1","C:\Users\undukwe\source\repos\myscripts\PowerShell Modules\Functions\Get-IntuneApps.psm1","Where","System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"56","34","'Where' is an alias of 'Where-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content.","Where","PSAvoidUsingCmdletAliases","Warning","Get-IntuneApps.psm1","C:\Users\undukwe\source\repos\myscripts\PowerShell Modules\Functions\Get-IntuneApps.psm1","Where","System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"57","30","'Where' is an alias of 'Where-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content.","Where","PSAvoidUsingCmdletAliases","Warning","Get-IntuneApps.psm1","C:\Users\undukwe\source\repos\myscripts\PowerShell Modules\Functions\Get-IntuneApps.psm1","Where","System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"1","10","The cmdlet 'Get-IntuneApps' uses a plural noun. A singular noun should be used instead.","Get-IntuneApps","PSUseSingularNouns","Warning","Get-IntuneApps.psm1","C:\Users\undukwe\source\repos\myscripts\PowerShell Modules\Functions\Get-IntuneApps.psm1","Get-IntuneApps","Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent[]","False"
"17","73","'Select' is an alias of 'Select-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content.","Select","PSAvoidUsingCmdletAliases","Warning","Get-IntuneAppStatusReport.psm1","C:\Users\undukwe\source\repos\myscripts\PowerShell Modules\Functions\Get-IntuneAppStatusReport.psm1","Select","System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"25","71","'Select' is an alias of 'Select-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content.","Select","PSAvoidUsingCmdletAliases","Warning","Get-IntuneAppStatusReport.psm1","C:\Users\undukwe\source\repos\myscripts\PowerShell Modules\Functions\Get-IntuneAppStatusReport.psm1","Select","System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"65","69","'Select' is an alias of 'Select-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content.","Select","PSAvoidUsingCmdletAliases","Warning","Get-IntuneConfigProfiles.psm1","C:\Users\undukwe\source\repos\myscripts\PowerShell Modules\Functions\Get-IntuneConfigProfiles.psm1","Select","System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
"69","70","'Select' is an alias of 'Select-Object'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content.","Select","PSAvoidUsingCmdletAliases","Warning","Get-IntuneConfigProfiles.psm1","C:\Users\undukwe\source\repos\myscripts\PowerShell Modules\Functions\Get-IntuneConfigProfiles.psm1","Select","System.Collections.Generic.List`1[Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent]","False"
